Date,Open,High,Low,Close,Adj Close,Volume
2013-05-10,89.959999,90.250000,87.900002,88.620003,74.298660,6967500
2013-05-13,88.190002,88.489998,87.750000,88.070000,73.837547,5483600
2013-05-14,87.820000,88.000000,86.860001,87.550003,73.401596,6856900
2013-05-15,86.970001,87.180000,86.440002,87.000000,72.940460,6925400
2013-05-16,86.550003,87.650002,86.099998,86.779999,72.756027,8192200
2013-05-17,87.389999,87.860001,87.099998,87.669998,73.502197,6690800
2013-05-20,87.570000,88.750000,87.269997,88.330002,74.055534,5603200
2013-05-21,88.650002,88.980003,87.730003,88.099998,73.862694,4730000
2013-05-22,88.089996,89.089996,87.150002,87.699997,73.527344,6479100
2013-05-23,86.029999,87.379997,85.779999,86.949997,72.898552,6026800
2013-05-24,86.260002,86.720001,85.769997,86.209999,72.278122,4637400
2013-05-28,87.040001,87.389999,85.900002,86.190002,72.261375,5800400
2013-05-29,85.730003,86.660004,85.330002,86.489998,72.512871,5110500
2013-05-30,86.470001,87.000000,85.989998,86.410004,72.445801,3568000
2013-05-31,86.230003,86.949997,85.800003,85.800003,71.934395,5522300
2013-06-03,85.910004,86.300003,85.739998,86.129997,72.211067,6092700
2013-06-04,85.949997,86.470001,85.440002,85.919998,72.035004,5105500
2013-06-05,85.470001,85.730003,84.230003,84.419998,70.777405,7359000
2013-06-06,84.300003,84.309998,83.300003,84.000000,70.425278,7009400
2013-06-07,84.650002,85.370003,83.639999,84.650002,70.970230,5474100
2013-06-10,84.709999,84.769997,83.629997,83.800003,70.257607,4965200
2013-06-11,83.029999,83.970001,82.629997,83.519997,70.022850,5275900
2013-06-12,84.169998,84.379997,83.010002,83.209999,69.762947,4748100
2013-06-13,83.320000,85.279999,83.190002,85.139999,71.381042,6352100
2013-06-14,85.010002,85.139999,83.400002,83.870003,70.316284,5147500
2013-06-17,83.550003,84.430000,83.419998,83.919998,70.358192,4389500
2013-06-18,84.089996,84.870003,83.959999,84.550003,70.886391,3723900
2013-06-19,84.500000,85.290001,84.250000,84.250000,70.634880,4711700
2013-06-20,83.190002,83.680000,82.349998,83.199997,69.754578,7628100
2013-06-21,84.019997,84.019997,81.930000,83.120003,69.687462,9736500
2013-06-24,82.059998,82.250000,80.860001,81.519997,68.346039,7525600
2013-06-25,82.339996,82.680000,81.970001,82.330002,69.025154,6249000
2013-06-26,82.919998,83.430000,81.699997,82.099998,68.832336,6950600
2013-06-27,82.550003,83.169998,82.550003,82.959999,69.553345,4658000
2013-06-28,82.760002,83.190002,82.309998,82.489998,69.159317,8448800
2013-07-01,83.040001,83.250000,82.269997,82.720001,69.352119,4676300
2013-07-02,82.769997,83.589996,82.040001,82.480003,69.150917,3659900
2013-07-03,82.150002,82.500000,81.559998,81.849998,68.622726,2928200
2013-07-05,82.529999,82.629997,81.400002,82.139999,68.865852,4819500
2013-07-08,82.400002,83.199997,82.250000,83.199997,69.754578,4879100
2013-07-09,84.070000,86.250000,83.720001,85.330002,71.540344,7882100
2013-07-10,85.419998,85.769997,84.790001,84.959999,71.230125,4216800
2013-07-11,86.459999,86.889999,86.099998,86.699997,72.688942,5434500
2013-07-12,86.629997,87.269997,86.540001,87.169998,73.083000,4876100
2013-07-15,87.239998,88.029999,87.190002,87.400002,73.275826,4161800
2013-07-16,87.720001,88.529999,87.419998,88.169998,73.921394,5432100
2013-07-17,88.449997,89.000000,85.879997,86.669998,72.663780,15077400
2013-07-18,85.879997,86.599998,85.419998,85.720001,72.368317,7045900
2013-07-19,85.449997,85.889999,85.150002,85.650002,72.309227,5086200
2013-07-22,85.379997,86.550003,85.379997,86.000000,72.604706,4835000
2013-07-23,85.489998,86.379997,85.120003,85.519997,72.199478,6891800
2013-07-24,84.580002,85.279999,82.639999,83.440002,70.443451,16602100
2013-07-25,82.050003,82.580002,81.349998,82.139999,69.345924,9941300
2013-07-26,81.879997,82.080002,81.430000,82.059998,69.278397,5727000
2013-07-29,82.419998,83.349998,82.000000,83.019997,70.088860,9068800
2013-07-30,83.470001,83.750000,82.660004,83.190002,70.232368,5266000
2013-07-31,83.580002,83.900002,82.839996,82.910004,69.995995,7012900
2013-08-01,83.620003,84.809998,83.110001,84.440002,71.287674,6570400
2013-08-02,84.290001,84.680000,83.500000,84.300003,71.169479,4864700
2013-08-05,84.110001,84.290001,83.500000,83.559998,70.544754,3758400
2013-08-06,83.309998,83.320000,82.150002,82.529999,69.675163,7223600
2013-08-07,82.379997,82.769997,81.800003,82.430000,69.590767,4292400
2013-08-08,82.949997,84.589996,82.919998,83.959999,70.882454,6400600
2013-08-09,83.800003,84.790001,83.500000,84.510002,71.346779,5478600
2013-08-12,84.190002,86.449997,84.059998,86.320000,72.874847,8608300
2013-08-13,86.620003,87.430000,86.449997,86.570000,73.085945,6710300
2013-08-14,86.860001,87.000000,85.709999,85.820000,72.452744,4462900
2013-08-15,84.959999,86.529999,84.879997,85.860001,72.486496,5138900
2013-08-16,85.849998,86.400002,85.139999,85.160004,71.895546,4706500
2013-08-19,85.150002,85.500000,83.949997,84.199997,71.085060,3766000
2013-08-20,83.800003,84.459999,83.269997,83.860001,70.798027,4690000
2013-08-21,83.519997,83.849998,82.830002,82.940002,70.021324,5562600
2013-08-22,83.309998,84.489998,83.059998,84.169998,71.059738,4739900
2013-08-23,84.379997,84.400002,83.400002,83.889999,70.823349,4487200
2013-08-26,83.980003,84.779999,83.519997,83.559998,70.544754,4123300
2013-08-27,82.879997,83.540001,82.480003,82.699997,69.818695,5569900
2013-08-28,81.809998,82.660004,81.459999,82.449997,69.607635,6762900
2013-08-29,82.500000,83.059998,82.019997,82.529999,69.675163,3706400
2013-08-30,82.589996,82.760002,82.209999,82.540001,69.683609,4425700
2013-09-03,83.150002,83.540001,81.720001,82.510002,69.658295,7544200
2013-09-04,82.750000,83.739998,82.300003,83.540001,70.527863,4482200
2013-09-05,83.370003,83.519997,82.709999,82.949997,70.029770,3728400
2013-09-06,83.220001,84.220001,82.400002,83.389999,70.401222,5566500
2013-09-09,84.040001,86.029999,84.019997,85.589996,72.258537,6702200
2013-09-10,86.809998,86.889999,86.180000,86.610001,73.119690,6298400
2013-09-11,86.500000,87.129997,86.260002,87.129997,73.558685,4382900
2013-09-12,86.940002,87.220001,86.620003,86.839996,73.313850,3980600
2013-09-13,87.099998,87.199997,86.379997,87.010002,73.457367,3276000
2013-09-16,87.959999,88.220001,87.029999,87.180000,73.600899,4866600
2013-09-17,87.360001,87.449997,86.669998,87.070000,73.508026,3415400
2013-09-18,86.309998,88.010002,86.199997,87.839996,74.158081,5564700
2013-09-19,88.040001,88.250000,87.309998,87.750000,74.082115,4765200
2013-09-20,87.610001,87.650002,84.750000,84.750000,71.549400,13435200
2013-09-23,85.000000,85.389999,84.379997,85.029999,71.785782,6048400
2013-09-24,85.129997,85.440002,84.529999,85.110001,71.853317,3720900
2013-09-25,85.139999,85.550003,84.430000,84.500000,71.338333,3824700
2013-09-26,84.589996,84.849998,83.900002,84.199997,71.085060,3475100
2013-09-27,83.620003,83.919998,83.379997,83.800003,70.747375,3017600
2013-09-30,82.949997,83.830002,82.830002,83.400002,70.409668,5401500
2013-10-01,83.559998,84.300003,83.080002,83.760002,70.713600,3866000
2013-10-02,83.519997,84.250000,83.330002,84.070000,70.975327,3324900
2013-10-03,83.889999,84.269997,83.419998,83.970001,70.890900,4223500
2013-10-04,83.970001,84.349998,83.540001,84.199997,71.085060,3212000
2013-10-07,83.459999,84.160004,83.300003,83.529999,70.519417,3364300
2013-10-08,83.540001,83.889999,82.629997,82.849998,69.945328,5671300
2013-10-09,83.050003,83.889999,82.449997,83.519997,70.510979,4577500
2013-10-10,84.440002,84.949997,84.070000,84.730003,71.532516,4317100
2013-10-11,84.639999,85.849998,84.349998,85.610001,72.275452,4110300
2013-10-14,85.059998,86.419998,84.860001,86.239998,72.807297,4689600
2013-10-15,86.239998,86.750000,85.690002,85.750000,72.393639,4896500
2013-10-16,86.059998,86.489998,85.599998,86.269997,72.832634,3549500
2013-10-17,85.330002,85.989998,84.949997,85.849998,72.985672,3850700
2013-10-18,86.309998,87.760002,86.269997,87.339996,74.252403,6752700
2013-10-21,87.720001,87.800003,87.190002,87.699997,74.558449,3883500
2013-10-22,87.879997,89.169998,87.540001,89.169998,75.808182,9152900
2013-10-23,84.150002,84.650002,83.050003,83.760002,71.208847,20968800
2013-10-24,83.320000,85.000000,83.129997,84.529999,71.863472,8368700
2013-10-25,84.320000,84.779999,83.610001,84.769997,72.067505,4886400
2013-10-28,84.500000,84.730003,84.150002,84.279999,71.650932,3979200
2013-10-29,83.910004,84.099998,83.290001,84.070000,71.472397,5324100
2013-10-30,84.169998,84.349998,83.209999,83.489998,70.979309,4657000
2013-10-31,83.440002,84.269997,83.360001,83.360001,70.868782,4651300
2013-11-01,83.779999,83.800003,82.800003,83.589996,71.064316,5880200
2013-11-04,83.809998,83.989998,83.449997,83.889999,71.319374,3892500
2013-11-05,83.610001,84.190002,83.360001,84.050003,71.455399,4010900
2013-11-06,84.300003,84.360001,83.849998,84.220001,71.599937,3664100
